G,1.49,-0.53111,0.33,-0.1,5.32
G,1.47,-0.42275,0.32,-0.08,5.29
G,1.45,-0.3693,0.32,-0.07,5.28
G,1.45,-0.42035,0.32,-0.08,5.26
G,1.43,-0.42355,0.32,-0.08,5.3
G,1.39,-0.42355,0.33,-0.08,5.3
G,1.39,-0.37,0.3,-0.07,5.29
G,1.38,-0.3679,0.3,-0.07,5.26
G,1.37,-0.3679,0.3,-0.07,5.26
G,1.37,-0.3679,0.31,-0.07,5.26
G,1.42,-0.41955,0.3,-0.08,5.25
G,1.45,-0.42435,0.32,-0.08,5.31
G,1.48,-0.47995,0.33,-0.09,5.34
G,1.49,-0.48445,0.34,-0.09,5.39
G,1.52,-0.48355,0.32,-0.09,5.38
G,1.5,-0.58731,0.36,-0.11,5.35
G,1.47,-0.64046,0.38,-0.12,5.35
G,1.44,-0.64405,0.41,-0.12,5.38
G,1.41,-0.69095,0.43,-0.13,5.33
G,1.37,-0.73818,0.45,-0.14,5.29
G,1.33,-0.74097,0.48,-0.14,5.31
G,1.27,-0.73818,0.48,-0.14,5.29
G,1.22,-0.73121,0.5,-0.14,5.24
G,1.22,-0.78007,0.5,-0.15,5.22
G,1.15,-0.78156,0.52,-0.15,5.23
G,1.09,-0.77708,0.55,-0.15,5.2
G,1.05,-0.76961,0.55,-0.15,5.15
G,1.01,-0.76064,0.56,-0.15,5.09
G,1,-0.76064,0.54,-0.15,5.09
G,1.01,-0.65725,0.49,-0.13,5.07
G,1.09,-0.55767,0.41,-0.11,5.08
G,1.16,-0.45928,0.32,-0.09,5.11
G,1.2,-0.46377,0.28,-0.09,5.16
G,1.21,-0.30881,0.23,-0.06,5.15
G,1.22,-0.31121,0.2,-0.06,5.19
G,1.2,-0.20634,0.14,-0.04,5.16
G,1.18,-0.15478,0.1,-0.03,5.16
G,1.15,-0.10379,0.07,-0.02,5.19
G,1.12,-0.051399,0.03,-0.01,5.14
G,1.1,-0,-0,-0,5.1
G,1.07,0,-0.04,0,5.1
G,1.05,0.051299,-0.05,0.01,5.13
G,1.03,0.10139,-0.07,0.02,5.07
G,1.02,0.15058,-0.1,0.03,5.02
G,1.05,0.20155,-0.15,0.04,5.04
G,1.07,0.20035,-0.07,0.04,5.01
G,1.11,0.14998,0,0.03,5
G,1.15,0.15148,0.06,0.03,5.05
G,1.2,0.10139,0.1,0.02,5.07
G,1.23,0.10119,0.09,0.02,5.06
G,1.23,0.15058,0.07,0.03,5.02
G,1.23,0.15118,0.08,0.03,5.04
G,1.21,0.15028,0.06,0.03,5.01
G,1.2,0.15118,0.05,0.03,5.04
G,1.18,0.19995,0.03,0.04,5
G,1.15,0.19995,0.01,0.04,5
G,1.12,0.2474,-0,0.05,4.95
G,1.11,0.2434,-0.01,0.05,4.87
G,1.1,0.28783,-0.04,0.06,4.8
G,1.1,0.28723,-0.05,0.06,4.79
G,1.1,0.33503,-0.05,0.07,4.79
G,1.12,0.38279,-0.05,0.08,4.79
G,1.14,0.38039,-0.05,0.08,4.76
G,1.14,0.37959,-0.06,0.08,4.75
G,1.18,0.43232,-0.07,0.09,4.81
G,1.21,0.43411,-0.08,0.09,4.83
G,1.22,0.43861,-0.09,0.09,4.88
G,1.23,0.48319,-0.1,0.1,4.84
G,1.22,0.57462,-0.12,0.12,4.8
G,1.2,0.57342,-0.13,0.12,4.79
G,1.18,0.56744,-0.14,0.12,4.74
G,1.17,0.57222,-0.15,0.12,4.78
G,1.14,0.61576,-0.16,0.13,4.75
G,1.12,0.66004,-0.16,0.14,4.73
G,1.08,0.69937,-0.18,0.15,4.68
G,1.06,0.70236,-0.18,0.15,4.7
G,1.05,0.74242,-0.19,0.16,4.66
G,1.05,0.79008,-0.2,0.17,4.67
G,1.08,0.8307,-0.22,0.18,4.64
G,1.12,0.87631,-0.22,0.19,4.64
G,1.15,0.88575,-0.22,0.19,4.69
G,1.15,0.88764,-0.22,0.19,4.7
G,1.21,0.88575,-0.19,0.19,4.69
G,1.24,0.9258,-0.17,0.2,4.66
G,1.25,0.92977,-0.15,0.2,4.68
G,1.24,0.96725,-0.12,0.21,4.64
G,1.23,1.006,-0.12,0.22,4.61
G,1.22,0.95892,-0.11,0.21,4.6
G,1.19,0.99513,-0.11,0.22,4.56
G,1.16,0.98422,-0.08,0.22,4.51
G,1.12,1.0236,-0.09,0.23,4.49
G,1.09,1.0282,-0.07,0.23,4.51
G,1.06,1.0602,-0.06,0.24,4.46
G,1.05,1.0673,-0.06,0.24,4.49
G,1.06,1.0578,-0.07,0.24,4.45
G,1.1,1.0625,-0.05,0.24,4.47
G,1.17,1.0191,-0.06,0.23,4.47
G,1.23,0.9733,-0.08,0.22,4.46
G,1.3,0.93807,-0.08,0.21,4.5
G,1.34,0.80384,-0.07,0.18,4.49
G,1.36,0.57817,-0.03,0.13,4.46
G,1.37,0.48961,-0.04,0.11,4.46
G,1.38,0.5399,-0.06,0.12,4.51
G,1.36,0.31404,-0.03,0.07,4.49
G,1.34,0.089194,0.01,0.02,4.46
G,1.31,0,0.02,0,4.47
G,1.28,-0.17755,0.05,-0.04,4.44
G,1.26,-0.31055,0.07,-0.07,4.44
G,1.25,-0.39996,0.07,-0.09,4.45
G,1.24,-0.35802,0.06,-0.08,4.48
G,1.26,-0.4929,0.07,-0.11,4.49
G,1.28,-0.4951,0.07,-0.11,4.51
G,1.31,-0.50059,0.06,-0.11,4.56
G,1.36,-0.45724,0.05,-0.1,4.58
G,1.39,-0.45724,0.04,-0.1,4.58
G,1.41,-0.46223,0.02,-0.1,4.63
G,1.41,-0.46323,0,-0.1,4.64
G,1.4,-0.46123,0.05,-0.1,4.62
G,1.37,-0.45824,0.07,-0.1,4.59
G,1.35,-0.46223,0.09,-0.1,4.63
G,1.32,-0.46023,0.1,-0.1,4.61
G,1.29,-0.45524,0.1,-0.1,4.56
G,1.26,-0.40535,0.1,-0.09,4.51
G,1.21,-0.45225,0.14,-0.1,4.53
G,1.17,-0.45025,0.14,-0.1,4.51
G,1.16,-0.40176,0.12,-0.09,4.47
